customer_id,first_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age_group
1,Laraine,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,71,80
2,Eli,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,44,50
3,Arlin,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69,70
4,Talbot,Male,33,1961-10-03,Media Manager I,IT,Mass Customer,N,No,7.0,63,70
5,Sheila-kathryn,Female,56,1977-05-13,Senior Editor,Property,Affluent Customer,N,Yes,8.0,46,50
6,Curr,Male,35,1966-09-16,Structural Engineer,Retail,High Net Worth,N,Yes,13.0,58,60
7,Fina,Female,6,1976-02-23,Nurse Practicioner,Financial Services,Affluent Customer,N,Yes,11.0,47,50
8,Rod,Male,31,1962-03-30,Media Manager I,Retail,Mass Customer,N,No,7.0,61,70
9,Mala,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,50,60
10,Fiorenze,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,36,40
11,Uriah,Male,99,1954-04-30,VP Quality Control,Property,Mass Customer,N,No,9.0,69,70
12,Sawyere,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,29,30
13,Gabriele,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,68,70
14,Rayshell,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,40,50
15,Erroll,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,23,30
16,Harlin,Male,38,1977-02-27,Media Manager IV,Financial Services,Mass Customer,N,Yes,18.0,46,50
17,Heath,Male,57,1962-03-19,Sales Associate,Health,Affluent Customer,N,Yes,15.0,61,70
18,Marjie,Female,79,1967-07-06,Professor,IT,Affluent Customer,N,No,11.0,56,60
19,Sorcha,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,22,30
20,Basile,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,43,50
21,Mile,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,44,50
22,Deeanne,Female,79,1962-12-10,Paralegal,IT,Mass Customer,N,No,11.0,62,70
23,Olav,Male,43,1995-02-10,VP Sales,Financial Services,High Net Worth,N,Yes,1.0,28,30
